participant, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1270292, 1, 1, 2, 1, 8, 0, 2210 
1270292, 1, 2, 1, 1, 16, 0, 1664 
1270292, 1, 3, 1, 2, 4, 0, 1225 
1270292, 1, 4, 1, 1, 8, 0, 1567 
1270292, 1, 5, 1, 1, 4, 0, 952 
1270292, 1, 6, 1, 2, 4, 0, 795 
1270292, 1, 7, 2, 2, 16, 0, 1345 
1270292, 1, 8, 1, 2, 4, 0, 781 
1270292, 1, 9, 1, 2, 4, 0, 672 
1270292, 1, 10, 2, 2, 8, 0, 997 
1270292, 1, 11, 1, 1, 16, 0, 1266 
1270292, 1, 12, 1, 1, 16, 0, 1523 
1270292, 2, 1, 2, 1, 4, 0, 1598 
1270292, 2, 2, 1, 2, 16, 0, 1010 
1270292, 2, 3, 2, 1, 4, 0, 1940 
1270292, 2, 4, 2, 1, 8, 0, 2385 
1270292, 2, 5, 1, 1, 8, 0, 975 
1270292, 2, 6, 1, 1, 4, 0, 773 
1270292, 2, 7, 1, 2, 8, 0, 915 
1270292, 2, 8, 2, 2, 4, 0, 1006 
1270292, 2, 9, 2, 1, 4, 1, 931 
1270292, 2, 10, 2, 2, 16, 0, 1103 
1270292, 2, 11, 1, 1, 16, 0, 868 
1270292, 2, 12, 1, 1, 4, 0, 1061 
1270292, 2, 13, 2, 2, 4, 0, 852 
1270292, 2, 14, 1, 1, 16, 0, 2050 
1270292, 2, 15, 1, 1, 16, 0, 945 
1270292, 2, 16, 2, 1, 8, 0, 1666 
1270292, 2, 17, 1, 1, 16, 0, 1633 
1270292, 2, 18, 2, 1, 16, 0, 2176 
1270292, 2, 19, 2, 1, 16, 0, 2835 
1270292, 2, 20, 2, 2, 8, 0, 1151 
1270292, 2, 21, 1, 1, 4, 0, 1329 
1270292, 2, 22, 1, 1, 16, 0, 1059 
1270292, 2, 23, 2, 2, 16, 0, 1007 
1270292, 2, 24, 1, 1, 8, 0, 789 
1270292, 2, 25, 2, 2, 4, 0, 803 
1270292, 2, 26, 1, 2, 16, 0, 1520 
1270292, 2, 27, 2, 2, 16, 0, 787 
1270292, 2, 28, 1, 2, 8, 0, 832 
1270292, 2, 29, 2, 2, 16, 0, 739 
1270292, 2, 30, 2, 2, 8, 0, 690 
1270292, 2, 31, 2, 2, 4, 0, 610 
1270292, 2, 32, 1, 2, 4, 0, 724 
1270292, 2, 33, 2, 2, 8, 0, 721 
1270292, 2, 34, 2, 1, 8, 0, 1920 
1270292, 2, 35, 1, 2, 8, 0, 1137 
